,RaceName,Sex,AgeGroup,CountyName,CommunicationType,CampaignType,Count
1943,Black,M,18-29,Oceana,text,lpv,2
1944,Black,M,18-29,Ottawa,call,lpv,104
1945,Black,M,18-29,Ottawa,call,oakland,5
1946,Black,M,18-29,Ottawa,mail,lpv,200
1947,Black,M,18-29,Ottawa,mail,oakland,15
1948,Black,M,18-29,Ottawa,phone,oakland,5
1949,Black,M,18-29,Ottawa,text,lpv,453
1950,Black,M,18-29,Ottawa,text,oakland,2
1951,Black,M,18-29,Ottawa,text,scomi,19
1952,Black,M,18-29,Roscommon,text,lpv,1
1953,Black,M,18-29,Saginaw,call,lpv,965
1954,Black,M,18-29,Saginaw,mail,lpv,1177
1955,Black,M,18-29,Saginaw,postcards,lpv,48
1956,Black,M,18-29,Saginaw,text,lpv,5652
1957,Black,M,18-29,Saginaw,text,oakland,2
1958,Black,M,18-29,Saginaw,text,scomi,191
1959,Black,M,18-29,Sanilac,call,lpv,1
1960,Black,M,18-29,Shiawassee,mail,lpv,1
1961,Black,M,18-29,St. Clair,call,lpv,86
1962,Black,M,18-29,St. Clair,mail,lpv,122
1963,Black,M,18-29,St. Clair,mail,oakland,5
1964,Black,M,18-29,St. Clair,text,lpv,308
1965,Black,M,18-29,St. Clair,text,oakland,5
1966,Black,M,18-29,St. Clair,text,scomi,3
1967,Black,M,18-29,St. Joseph,call,lpv,6
1968,Black,M,18-29,St. Joseph,text,lpv,36
1969,Black,M,18-29,St. Joseph,text,scomi,2
1970,Black,M,18-29,Tuscola,text,lpv,4
1971,Black,M,18-29,Van Buren,call,lpv,21
1972,Black,M,18-29,Van Buren,text,lpv,102
1973,Black,M,18-29,Van Buren,text,scomi,2
1974,Black,M,18-29,Washtenaw,call,lpv,1400
1975,Black,M,18-29,Washtenaw,mail,lpv,2494
1976,Black,M,18-29,Washtenaw,mail,oakland,46
1978,Black,M,18-29,Washtenaw,postcards,lpv,26
1979,Black,M,18-29,Washtenaw,text,lpv,6530
1980,Black,M,18-29,Washtenaw,text,oakland,15
1981,Black,M,18-29,Washtenaw,text,scomi,601
1982,Black,M,18-29,Wayne,call,lpv,15119
1983,Black,M,18-29,Wayne,call,oakland,16
1984,Black,M,18-29,Wayne,mail,lpv,23415
1985,Black,M,18-29,Wayne,mail,oakland,336
1986,Black,M,18-29,Wayne,phone,oakland,24
1988,Black,M,18-29,Wayne,postcards,lpv,395
1989,Black,M,18-29,Wayne,text,lpv,82506
1990,Black,M,18-29,Wayne,text,oakland,358
1993,Black,M,18-29,Wayne,text,scomi,4898
1994,Black,M,18-29,Wexford,call,lpv,5
1995,Black,M,18-29,Wexford,text,lpv,18
1996,Black,M,18-29,Wexford,text,scomi,3
1997,Black,M,30-44,Alcona,mail,lpv,1
1998,Black,M,30-44,Alger,call,lpv,5
1999,Black,M,30-44,Alger,text,lpv,12
2000,Black,M,30-44,Allegan,call,lpv,46
2001,Black,M,30-44,Allegan,mail,lpv,17
2002,Black,M,30-44,Allegan,text,lpv,166
2003,Black,M,30-44,Alpena,text,lpv,1
2004,Black,M,30-44,Baraga,call,lpv,26
2005,Black,M,30-44,Baraga,text,lpv,47
2006,Black,M,30-44,Barry,call,lpv,3
2007,Black,M,30-44,Barry,text,lpv,8
2008,Black,M,30-44,Bay,call,lpv,92
2009,Black,M,30-44,Bay,mail,lpv,161
2010,Black,M,30-44,Bay,text,lpv,333
2011,Black,M,30-44,Bay,text,scomi,14
2012,Black,M,30-44,Benzie,call,lpv,4
2013,Black,M,30-44,Benzie,text,lpv,12
2014,Black,M,30-44,Berrien,call,lpv,750
2015,Black,M,30-44,Berrien,mail,lpv,846
2016,Black,M,30-44,Berrien,postcards,lpv,2
2017,Black,M,30-44,Berrien,text,lpv,6055
2018,Black,M,30-44,Berrien,text,scomi,99
2019,Black,M,30-44,Branch,call,lpv,24
2020,Black,M,30-44,Branch,text,lpv,66
2021,Black,M,30-44,Calhoun,call,lpv,635
2022,Black,M,30-44,Calhoun,mail,lpv,848
2023,Black,M,30-44,Calhoun,postcards,lpv,4
2024,Black,M,30-44,Calhoun,text,lpv,3580
2025,Black,M,30-44,Calhoun,text,scomi,151
2026,Black,M,30-44,Cass,call,lpv,30
2027,Black,M,30-44,Cass,mail,lpv,1
2028,Black,M,30-44,Cass,text,lpv,110
2029,Black,M,30-44,Charlevoix,call,lpv,1
2030,Black,M,30-44,Charlevoix,text,lpv,1
2031,Black,M,30-44,Chippewa,call,lpv,40
2032,Black,M,30-44,Chippewa,mail,lpv,1
2033,Black,M,30-44,Chippewa,text,lpv,95
2034,Black,M,30-44,Chippewa,text,scomi,2
2035,Black,M,30-44,Clare,call,lpv,4
2036,Black,M,30-44,Clare,text,lpv,14
2037,Black,M,30-44,Clinton,call,lpv,45
2038,Black,M,30-44,Clinton,mail,lpv,14
2039,Black,M,30-44,Clinton,text,lpv,155
2040,Black,M,30-44,Clinton,text,scomi,10
2041,Black,M,30-44,Dickinson,text,lpv,1
2042,Black,M,30-44,Eaton,call,lpv,257
2043,Black,M,30-44,Eaton,mail,lpv,210
2044,Black,M,30-44,Eaton,text,lpv,1180
2045,Black,M,30-44,Eaton,text,oakland,1
2046,Black,M,30-44,Eaton,text,scomi,42
2047,Black,M,30-44,Genesee,call,lpv,3744
2048,Black,M,30-44,Genesee,mail,lpv,4923
2049,Black,M,30-44,Genesee,postcards,lpv,127
2050,Black,M,30-44,Genesee,text,lpv,29955
2051,Black,M,30-44,Genesee,text,oakland,6
2053,Black,M,30-44,Genesee,text,scomi,1046
2054,Black,M,30-44,Gogebic,call,lpv,3
2055,Black,M,30-44,Gogebic,postcards,lpv,2
2056,Black,M,30-44,Gogebic,text,lpv,3
2057,Black,M,30-44,Grand Traverse,call,lpv,12
2058,Black,M,30-44,Grand Traverse,text,lpv,39
2059,Black,M,30-44,Grand Traverse,text,scomi,2
2060,Black,M,30-44,Gratiot,call,lpv,2
2061,Black,M,30-44,Gratiot,text,lpv,28
2062,Black,M,30-44,Gratiot,text,scomi,2
2063,Black,M,30-44,Hillsdale,text,lpv,4
2064,Black,M,30-44,Houghton,text,lpv,1
2065,Black,M,30-44,Huron,call,lpv,3
2066,Black,M,30-44,Huron,text,lpv,9
2067,Black,M,30-44,Ingham,call,lpv,1507
2068,Black,M,30-44,Ingham,mail,lpv,2386
2069,Black,M,30-44,Ingham,mail,oakland,1
2070,Black,M,30-44,Ingham,postcards,lpv,19
2071,Black,M,30-44,Ingham,text,lpv,9035
2072,Black,M,30-44,Ingham,text,oakland,3
2073,Black,M,30-44,Ingham,text,scomi,460
2074,Black,M,30-44,Ionia,call,lpv,13
2075,Black,M,30-44,Ionia,text,lpv,31
2076,Black,M,30-44,Iosco,call,lpv,4
2077,Black,M,30-44,Iosco,text,lpv,13
2078,Black,M,30-44,Isabella,call,lpv,27
2079,Black,M,30-44,Isabella,mail,lpv,40
2080,Black,M,30-44,Isabella,postcards,lpv,1
2081,Black,M,30-44,Isabella,text,lpv,66
2082,Black,M,30-44,Isabella,text,scomi,4
2083,Black,M,30-44,Jackson,call,lpv,205
2084,Black,M,30-44,Jackson,mail,lpv,19
2085,Black,M,30-44,Jackson,postcards,lpv,1
2086,Black,M,30-44,Jackson,text,lpv,755
2087,Black,M,30-44,Jackson,text,oakland,1
2089,Black,M,30-44,Kalamazoo,call,lpv,1074
2090,Black,M,30-44,Kalamazoo,mail,lpv,1593
2091,Black,M,30-44,Kalamazoo,postcards,lpv,6
2092,Black,M,30-44,Kalamazoo,text,lpv,6606
2093,Black,M,30-44,Kalamazoo,text,scomi,328
2094,Black,M,30-44,Kent,call,lpv,2771
2095,Black,M,30-44,Kent,mail,lpv,3187
2096,Black,M,30-44,Kent,mail,oakland,3
2097,Black,M,30-44,Kent,postcards,lpv,24
2098,Black,M,30-44,Kent,text,lpv,13493
2099,Black,M,30-44,Kent,text,oakland,4
2100,Black,M,30-44,Kent,text,scomi,560
2101,Black,M,30-44,Lake,call,lpv,14
2102,Black,M,30-44,Lake,text,lpv,37
2103,Black,M,30-44,Lapeer,call,lpv,4
2104,Black,M,30-44,Lapeer,text,lpv,6
2105,Black,M,30-44,Leelanau,text,lpv,2
2106,Black,M,30-44,Lenawee,call,lpv,36
2107,Black,M,30-44,Lenawee,text,lpv,102
2108,Black,M,30-44,Lenawee,text,scomi,2
2109,Black,M,30-44,Livingston,call,lpv,8
2110,Black,M,30-44,Livingston,text,lpv,36
2111,Black,M,30-44,Livingston,text,oakland,6
2112,Black,M,30-44,Livingston,text,scomi,7
2113,Black,M,30-44,Luce,call,lpv,4
2114,Black,M,30-44,Luce,text,lpv,8
2115,Black,M,30-44,Mackinac,text,lpv,1
2116,Black,M,30-44,Macomb,call,lpv,5518
2117,Black,M,30-44,Macomb,mail,lpv,8484
2118,Black,M,30-44,Macomb,mail,oakland,65
2119,Black,M,30-44,Macomb,postcards,lpv,50
2120,Black,M,30-44,Macomb,text,lpv,23994
2121,Black,M,30-44,Macomb,text,oakland,102
2124,Black,M,30-44,Macomb,text,scomi,1512
2125,Black,M,30-44,Manistee,call,lpv,8
2126,Black,M,30-44,Manistee,text,lpv,13
2127,Black,M,30-44,Marquette,call,lpv,19
2128,Black,M,30-44,Marquette,mail,lpv,32
2129,Black,M,30-44,Marquette,text,lpv,65
2130,Black,M,30-44,Marquette,text,scomi,5
2131,Black,M,30-44,Mason,call,lpv,1
2132,Black,M,30-44,Mason,text,lpv,3
2133,Black,M,30-44,Mecosta,call,lpv,25
2134,Black,M,30-44,Mecosta,text,lpv,73
2135,Black,M,30-44,Mecosta,text,scomi,1
2136,Black,M,30-44,Menominee,call,lpv,1
2137,Black,M,30-44,Midland,call,lpv,24
2138,Black,M,30-44,Midland,text,lpv,56
2139,Black,M,30-44,Midland,text,scomi,2
2140,Black,M,30-44,Missaukee,call,lpv,2
2141,Black,M,30-44,Monroe,call,lpv,42
2142,Black,M,30-44,Monroe,mail,lpv,18
2143,Black,M,30-44,Monroe,postcards,lpv,2
2144,Black,M,30-44,Monroe,text,lpv,174
2145,Black,M,30-44,Montcalm,call,lpv,9
2146,Black,M,30-44,Montcalm,text,lpv,20
2147,Black,M,30-44,Muskegon,call,lpv,916
2148,Black,M,30-44,Muskegon,mail,lpv,1237
2149,Black,M,30-44,Muskegon,postcards,lpv,11
2150,Black,M,30-44,Muskegon,text,lpv,6123
2151,Black,M,30-44,Muskegon,text,scomi,237
2152,Black,M,30-44,Newaygo,call,lpv,3
2153,Black,M,30-44,Newaygo,text,lpv,10
2154,Black,M,30-44,Oakland,call,lpv,230
2155,Black,M,30-44,Oakland,call,oakland,1825
2156,Black,M,30-44,Oakland,mail,lpv,9296
2157,Black,M,30-44,Oakland,mail,oakland,24027
2158,Black,M,30-44,Oakland,phone,oakland,2238
2160,Black,M,30-44,Oakland,postcards,lpv,147
2161,Black,M,30-44,Oakland,text,lpv,14507
2162,Black,M,30-44,Oakland,text,oakland,26990
2165,Black,M,30-44,Oakland,text,scomi,1536
2166,Black,M,30-44,Oceana,call,lpv,1
2167,Black,M,30-44,Oceana,text,lpv,2
2168,Black,M,30-44,Ogemaw,call,lpv,1
2169,Black,M,30-44,Ogemaw,text,lpv,2
2170,Black,M,30-44,Osceola,text,lpv,13
2171,Black,M,30-44,Oscoda,text,lpv,1
2172,Black,M,30-44,Otsego,call,lpv,8
2173,Black,M,30-44,Otsego,text,lpv,19
2174,Black,M,30-44,Ottawa,call,lpv,169
2175,Black,M,30-44,Ottawa,mail,lpv,245
2176,Black,M,30-44,Ottawa,text,lpv,742
2177,Black,M,30-44,Ottawa,text,oakland,4
2178,Black,M,30-44,Ottawa,text,scomi,11
2179,Black,M,30-44,Presque Isle,call,lpv,3
2180,Black,M,30-44,Presque Isle,text,lpv,6
2181,Black,M,30-44,Roscommon,text,lpv,2
2182,Black,M,30-44,Saginaw,call,lpv,1727
2183,Black,M,30-44,Saginaw,mail,lpv,2157
2184,Black,M,30-44,Saginaw,postcards,lpv,30
2185,Black,M,30-44,Saginaw,text,lpv,13499
2186,Black,M,30-44,Saginaw,text,oakland,8
2187,Black,M,30-44,Saginaw,text,scomi,323
2188,Black,M,30-44,Sanilac,call,lpv,1
2189,Black,M,30-44,Sanilac,text,lpv,1
2190,Black,M,30-44,Shiawassee,call,lpv,6
2191,Black,M,30-44,Shiawassee,mail,lpv,4
2192,Black,M,30-44,Shiawassee,text,lpv,32
2193,Black,M,30-44,St. Clair,call,lpv,165
2194,Black,M,30-44,St. Clair,mail,lpv,230
2195,Black,M,30-44,St. Clair,text,lpv,968
2196,Black,M,30-44,St. Clair,text,oakland,5
2197,Black,M,30-44,St. Clair,text,scomi,54
2198,Black,M,30-44,St. Joseph,call,lpv,30
2199,Black,M,30-44,St. Joseph,text,lpv,109
2200,Black,M,30-44,Tuscola,call,lpv,4
2201,Black,M,30-44,Tuscola,mail,lpv,2
2202,Black,M,30-44,Tuscola,text,lpv,1
2203,Black,M,30-44,Van Buren,call,lpv,24
2204,Black,M,30-44,Van Buren,text,lpv,93
2205,Black,M,30-44,Washtenaw,call,lpv,1764
2206,Black,M,30-44,Washtenaw,mail,lpv,2678
2207,Black,M,30-44,Washtenaw,mail,oakland,8
2208,Black,M,30-44,Washtenaw,postcards,lpv,18
2209,Black,M,30-44,Washtenaw,text,lpv,10987
2210,Black,M,30-44,Washtenaw,text,oakland,20
2212,Black,M,30-44,Washtenaw,text,scomi,723
2213,Black,M,30-44,Wayne,call,lpv,28690
2214,Black,M,30-44,Wayne,call,oakland,15
2215,Black,M,30-44,Wayne,mail,lpv,41226
2216,Black,M,30-44,Wayne,mail,oakland,339
2217,Black,M,30-44,Wayne,phone,oakland,30
2219,Black,M,30-44,Wayne,postcards,lpv,713
2220,Black,M,30-44,Wayne,text,lpv,198053
2221,Black,M,30-44,Wayne,text,oakland,683
2224,Black,M,30-44,Wayne,text,scomi,9549
2225,Black,M,30-44,Wexford,call,lpv,3
2226,Black,M,30-44,Wexford,text,lpv,6
2227,Black,M,45-64,Alcona,call,lpv,3
2228,Black,M,45-64,Alcona,text,lpv,6
2229,Black,M,45-64,Alger,call,lpv,9
2230,Black,M,45-64,Alger,text,lpv,19
2231,Black,M,45-64,Allegan,call,lpv,25
2232,Black,M,45-64,Allegan,mail,lpv,7
2233,Black,M,45-64,Allegan,text,lpv,83
2234,Black,M,45-64,Alpena,text,lpv,1
2235,Black,M,45-64,Antrim,text,lpv,1
2236,Black,M,45-64,Arenac,text,lpv,1
2237,Black,M,45-64,Baraga,call,lpv,32
2238,Black,M,45-64,Baraga,text,lpv,69
2239,Black,M,45-64,Barry,call,lpv,1
2240,Black,M,45-64,Bay,call,lpv,37
2241,Black,M,45-64,Bay,mail,lpv,37
2242,Black,M,45-64,Bay,text,lpv,205
2243,Black,M,45-64,Bay,text,scomi,3
2244,Black,M,45-64,Benzie,call,lpv,3
2245,Black,M,45-64,Benzie,text,lpv,6
2246,Black,M,45-64,Berrien,call,lpv,1048
2247,Black,M,45-64,Berrien,mail,lpv,1311
2248,Black,M,45-64,Berrien,postcards,lpv,51
2249,Black,M,45-64,Berrien,text,lpv,6513
2250,Black,M,45-64,Berrien,text,oakland,1
2251,Black,M,45-64,Berrien,text,scomi,36
2252,Black,M,45-64,Branch,call,lpv,14
2253,Black,M,45-64,Branch,text,lpv,26
2254,Black,M,45-64,Calhoun,call,lpv,599
2255,Black,M,45-64,Calhoun,mail,lpv,804
2256,Black,M,45-64,Calhoun,postcards,lpv,12
2257,Black,M,45-64,Calhoun,text,lpv,3070
2258,Black,M,45-64,Calhoun,text,scomi,18
2259,Black,M,45-64,Cass,call,lpv,59
2260,Black,M,45-64,Cass,text,lpv,184
2261,Black,M,45-64,Cass,text,scomi,1
2262,Black,M,45-64,Cheboygan,text,lpv,1
2263,Black,M,45-64,Chippewa,call,lpv,37
2264,Black,M,45-64,Chippewa,mail,lpv,2
2265,Black,M,45-64,Chippewa,text,lpv,67
2266,Black,M,45-64,Clinton,call,lpv,17
2267,Black,M,45-64,Clinton,mail,lpv,2
2268,Black,M,45-64,Clinton,text,lpv,47
2269,Black,M,45-64,Dickinson,call,lpv,1
2270,Black,M,45-64,Eaton,call,lpv,269
2271,Black,M,45-64,Eaton,mail,lpv,180
2272,Black,M,45-64,Eaton,text,lpv,861
2273,Black,M,45-64,Eaton,text,oakland,1
2275,Black,M,45-64,Eaton,text,scomi,2
2276,Black,M,45-64,Emmet,text,lpv,5
2277,Black,M,45-64,Genesee,call,lpv,4043
2278,Black,M,45-64,Genesee,mail,lpv,5320
2279,Black,M,45-64,Genesee,mail,oakland,1
2280,Black,M,45-64,Genesee,postcards,lpv,193
2281,Black,M,45-64,Genesee,text,lpv,29234
2282,Black,M,45-64,Genesee,text,oakland,8
2285,Black,M,45-64,Genesee,text,scomi,141
2286,Black,M,45-64,Gladwin,text,lpv,1
2287,Black,M,45-64,Gogebic,call,lpv,12
2288,Black,M,45-64,Gogebic,text,lpv,22
2289,Black,M,45-64,Grand Traverse,call,lpv,1
2290,Black,M,45-64,Grand Traverse,text,lpv,10
2291,Black,M,45-64,Gratiot,call,lpv,15
2292,Black,M,45-64,Gratiot,text,lpv,34
2293,Black,M,45-64,Hillsdale,call,lpv,1
2294,Black,M,45-64,Hillsdale,text,lpv,2
2295,Black,M,45-64,Houghton,text,lpv,1
2296,Black,M,45-64,Huron,text,lpv,1
2297,Black,M,45-64,Ingham,call,lpv,1202
2298,Black,M,45-64,Ingham,mail,lpv,1712
2299,Black,M,45-64,Ingham,mail,oakland,6
2300,Black,M,45-64,Ingham,postcards,lpv,27
2301,Black,M,45-64,Ingham,text,lpv,5485
2302,Black,M,45-64,Ingham,text,oakland,4
2303,Black,M,45-64,Ingham,text,scomi,51
2304,Black,M,45-64,Ionia,call,lpv,37
2305,Black,M,45-64,Ionia,text,lpv,68
2306,Black,M,45-64,Iosco,text,lpv,5
2307,Black,M,45-64,Iron,call,lpv,1
2308,Black,M,45-64,Isabella,call,lpv,29
2309,Black,M,45-64,Isabella,mail,lpv,27
2310,Black,M,45-64,Isabella,text,lpv,124
2311,Black,M,45-64,Jackson,call,lpv,251
2312,Black,M,45-64,Jackson,mail,lpv,4
2313,Black,M,45-64,Jackson,postcards,lpv,6
2314,Black,M,45-64,Jackson,text,lpv,798
2315,Black,M,45-64,Jackson,text,scomi,2
2316,Black,M,45-64,Kalamazoo,call,lpv,861
2317,Black,M,45-64,Kalamazoo,mail,lpv,1088
2318,Black,M,45-64,Kalamazoo,postcards,lpv,10
2319,Black,M,45-64,Kalamazoo,text,lpv,5133
2320,Black,M,45-64,Kalamazoo,text,scomi,33
2321,Black,M,45-64,Kalkaska,call,lpv,4
2322,Black,M,45-64,Kalkaska,text,lpv,12
2323,Black,M,45-64,Kent,call,lpv,2404
2324,Black,M,45-64,Kent,mail,lpv,2638
2325,Black,M,45-64,Kent,mail,oakland,6
2326,Black,M,45-64,Kent,postcards,lpv,17
2327,Black,M,45-64,Kent,text,lpv,10446
2328,Black,M,45-64,Kent,text,oakland,3
2329,Black,M,45-64,Kent,text,scomi,49
2330,Black,M,45-64,Lake,call,lpv,21
2331,Black,M,45-64,Lake,text,lpv,43
2332,Black,M,45-64,Lapeer,text,lpv,7
2333,Black,M,45-64,Lapeer,text,scomi,2
2334,Black,M,45-64,Lenawee,call,lpv,31
2335,Black,M,45-64,Lenawee,mail,lpv,1
2336,Black,M,45-64,Lenawee,text,lpv,78
2337,Black,M,45-64,Livingston,call,lpv,10
2338,Black,M,45-64,Livingston,mail,lpv,1
2339,Black,M,45-64,Livingston,text,lpv,21
2340,Black,M,45-64,Luce,call,lpv,4
2341,Black,M,45-64,Luce,text,lpv,7
2342,Black,M,45-64,Mackinac,call,lpv,5
2343,Black,M,45-64,Mackinac,text,lpv,7
2344,Black,M,45-64,Macomb,call,lpv,5144
2345,Black,M,45-64,Macomb,mail,lpv,6725
2346,Black,M,45-64,Macomb,mail,oakland,49
2347,Black,M,45-64,Macomb,postcards,lpv,62
2348,Black,M,45-64,Macomb,text,lpv,19886
2349,Black,M,45-64,Macomb,text,oakland,82
2352,Black,M,45-64,Macomb,text,scomi,155
2353,Black,M,45-64,Manistee,call,lpv,1
2354,Black,M,45-64,Manistee,text,lpv,3
2355,Black,M,45-64,Marquette,call,lpv,15
2356,Black,M,45-64,Marquette,mail,lpv,18
2357,Black,M,45-64,Marquette,postcards,lpv,6
2358,Black,M,45-64,Marquette,text,lpv,76
2359,Black,M,45-64,Marquette,text,oakland,12
2360,Black,M,45-64,Mason,text,lpv,1
2361,Black,M,45-64,Mecosta,call,lpv,2
2362,Black,M,45-64,Mecosta,text,lpv,14
2363,Black,M,45-64,Menominee,text,lpv,1
2364,Black,M,45-64,Midland,call,lpv,26
2365,Black,M,45-64,Midland,text,lpv,52
2366,Black,M,45-64,Monroe,call,lpv,70
2367,Black,M,45-64,Monroe,mail,lpv,16
2368,Black,M,45-64,Monroe,text,lpv,187
2369,Black,M,45-64,Monroe,text,scomi,2
2370,Black,M,45-64,Montcalm,call,lpv,16
2371,Black,M,45-64,Montcalm,mail,lpv,2
2372,Black,M,45-64,Montcalm,text,lpv,36
2373,Black,M,45-64,Muskegon,call,lpv,1000
2374,Black,M,45-64,Muskegon,mail,lpv,1325
2375,Black,M,45-64,Muskegon,postcards,lpv,19
2376,Black,M,45-64,Muskegon,text,lpv,5669
2378,Black,M,45-64,Muskegon,text,scomi,51
2379,Black,M,45-64,Newaygo,call,lpv,1
2380,Black,M,45-64,Newaygo,text,lpv,3
2381,Black,M,45-64,Oakland,call,lpv,140
2382,Black,M,45-64,Oakland,call,oakland,3102
2383,Black,M,45-64,Oakland,mail,lpv,10684
2384,Black,M,45-64,Oakland,mail,oakland,36661
2385,Black,M,45-64,Oakland,phone,oakland,3817
2387,Black,M,45-64,Oakland,postcards,lpv,255
2388,Black,M,45-64,Oakland,text,lpv,14535
2389,Black,M,45-64,Oakland,text,oakland,31647
2392,Black,M,45-64,Oakland,text,scomi,271
2393,Black,M,45-64,Oceana,call,lpv,4
2394,Black,M,45-64,Oceana,text,lpv,13
2395,Black,M,45-64,Osceola,call,lpv,4
2396,Black,M,45-64,Osceola,text,lpv,13
2397,Black,M,45-64,Otsego,call,lpv,4
2398,Black,M,45-64,Otsego,text,lpv,13
2399,Black,M,45-64,Ottawa,call,lpv,109
2400,Black,M,45-64,Ottawa,mail,lpv,124
2401,Black,M,45-64,Ottawa,text,lpv,541
2402,Black,M,45-64,Presque Isle,call,lpv,1
2403,Black,M,45-64,Roscommon,call,lpv,6
2404,Black,M,45-64,Roscommon,mail,lpv,2
2405,Black,M,45-64,Roscommon,text,lpv,13
2406,Black,M,45-64,Saginaw,call,lpv,1973
2407,Black,M,45-64,Saginaw,mail,lpv,2330
2408,Black,M,45-64,Saginaw,postcards,lpv,73
2409,Black,M,45-64,Saginaw,text,lpv,12955
2411,Black,M,45-64,Saginaw,text,scomi,58
2412,Black,M,45-64,Sanilac,text,lpv,4
2413,Black,M,45-64,Schoolcraft,call,lpv,1
2414,Black,M,45-64,Schoolcraft,text,lpv,1
2415,Black,M,45-64,Shiawassee,call,lpv,8
2416,Black,M,45-64,Shiawassee,text,lpv,14
2417,Black,M,45-64,St. Clair,call,lpv,67
2418,Black,M,45-64,St. Clair,mail,lpv,94
2419,Black,M,45-64,St. Clair,text,lpv,482
2420,Black,M,45-64,St. Clair,text,oakland,3
2421,Black,M,45-64,St. Clair,text,scomi,6
2422,Black,M,45-64,St. Joseph,call,lpv,39
2423,Black,M,45-64,St. Joseph,mail,lpv,2
2424,Black,M,45-64,St. Joseph,text,lpv,107
2425,Black,M,45-64,Tuscola,call,lpv,7
2426,Black,M,45-64,Tuscola,mail,lpv,6
2427,Black,M,45-64,Tuscola,text,lpv,23
2428,Black,M,45-64,Van Buren,call,lpv,58
2429,Black,M,45-64,Van Buren,text,lpv,176
2430,Black,M,45-64,Washtenaw,call,lpv,1826
2431,Black,M,45-64,Washtenaw,mail,lpv,2461
2432,Black,M,45-64,Washtenaw,postcards,lpv,16
2433,Black,M,45-64,Washtenaw,text,lpv,9144
2434,Black,M,45-64,Washtenaw,text,oakland,3
2436,Black,M,45-64,Washtenaw,text,scomi,57
2437,Black,M,45-64,Wayne,call,lpv,29145
2438,Black,M,45-64,Wayne,call,oakland,19
2439,Black,M,45-64,Wayne,mail,lpv,41658
2440,Black,M,45-64,Wayne,mail,oakland,315
2441,Black,M,45-64,Wayne,phone,oakland,27
2443,Black,M,45-64,Wayne,postcards,lpv,1015
2444,Black,M,45-64,Wayne,text,lpv,197916
2445,Black,M,45-64,Wayne,text,oakland,489
2448,Black,M,45-64,Wayne,text,scomi,1340
2449,Black,M,45-64,Wexford,call,lpv,6
2450,Black,M,45-64,Wexford,text,lpv,16
2451,Black,M,65+,Alger,text,lpv,1
2452,Black,M,65+,Allegan,call,lpv,4
2453,Black,M,65+,Allegan,text,lpv,6
2454,Black,M,65+,Arenac,text,lpv,1
2455,Black,M,65+,Baraga,call,lpv,15
2456,Black,M,65+,Baraga,text,lpv,26
2457,Black,M,65+,Bay,mail,lpv,1
2458,Black,M,65+,Bay,text,lpv,23
2459,Black,M,65+,Berrien,call,lpv,287
2460,Black,M,65+,Berrien,mail,lpv,420
2461,Black,M,65+,Berrien,postcards,lpv,19
2462,Black,M,65+,Berrien,text,lpv,1576
2463,Black,M,65+,Berrien,text,scomi,8
2464,Black,M,65+,Branch,call,lpv,1
2465,Black,M,65+,Calhoun,call,lpv,124
2466,Black,M,65+,Calhoun,mail,lpv,165
2467,Black,M,65+,Calhoun,postcards,lpv,6
2468,Black,M,65+,Calhoun,text,lpv,648
2469,Black,M,65+,Calhoun,text,scomi,7
2470,Black,M,65+,Cass,call,lpv,21
2471,Black,M,65+,Cass,text,lpv,47
2472,Black,M,65+,Charlevoix,text,lpv,1
2473,Black,M,65+,Cheboygan,text,lpv,1
2474,Black,M,65+,Chippewa,call,lpv,8
2475,Black,M,65+,Chippewa,text,lpv,10
2476,Black,M,65+,Clare,call,lpv,6
2477,Black,M,65+,Clare,mail,lpv,6
2478,Black,M,65+,Clare,text,lpv,24
2479,Black,M,65+,Clinton,call,lpv,1
2480,Black,M,65+,Clinton,text,lpv,3
2482,Black,M,65+,Eaton,call,lpv,48
2483,Black,M,65+,Eaton,mail,lpv,36
2484,Black,M,65+,Eaton,postcards,lpv,7
2485,Black,M,65+,Eaton,text,lpv,161
2486,Black,M,65+,Genesee,call,lpv,852
2487,Black,M,65+,Genesee,mail,lpv,1440
2488,Black,M,65+,Genesee,postcards,lpv,117
2489,Black,M,65+,Genesee,text,lpv,7031
2490,Black,M,65+,Genesee,text,oakland,7
2492,Black,M,65+,Genesee,text,scomi,56
2493,Black,M,65+,Gogebic,call,lpv,5
2494,Black,M,65+,Gogebic,text,lpv,6
2495,Black,M,65+,Grand Traverse,call,lpv,3
2496,Black,M,65+,Grand Traverse,text,lpv,7
2497,Black,M,65+,Gratiot,call,lpv,1
2498,Black,M,65+,Gratiot,text,lpv,2
2499,Black,M,65+,Hillsdale,call,lpv,2
2500,Black,M,65+,Hillsdale,text,lpv,2
2501,Black,M,65+,Huron,call,lpv,1
2502,Black,M,65+,Ingham,call,lpv,210
2503,Black,M,65+,Ingham,mail,lpv,363
2504,Black,M,65+,Ingham,postcards,lpv,19
2505,Black,M,65+,Ingham,text,lpv,1157
2506,Black,M,65+,Ingham,text,scomi,4
2507,Black,M,65+,Ionia,call,lpv,1
2508,Black,M,65+,Iron,call,lpv,1
2509,Black,M,65+,Isabella,call,lpv,2
2510,Black,M,65+,Isabella,mail,lpv,2
2511,Black,M,65+,Jackson,call,lpv,39
2512,Black,M,65+,Jackson,postcards,lpv,3
2513,Black,M,65+,Jackson,text,lpv,101
